Name,Position,Team Name,Price,Predict
Gibbs-White ,M,WOL,4.5,2.81
Sambi Lokonga ,M,ARS,4.8,2.76
Roberts ,M,LEE,4.8,2.73
Nakamba ,M,AVL,4.4,2.67
Skipp ,M,TOT,4.4,2.65
Shackleton ,M,LEE,4.4,2.54
Dasilva ,M,BRE,5.3,2.43
James ,M,LEE,6,2.39
Costa ,M,LEE,5.4,2.39
Philogene-Bidace ,M,AVL,5,1.63
Kral ,M,WHU,4.4,1.03
Perkins ,M,WHU,4.5,0.31
Leno ,G,ARS,4.5,-0.03
Chesters ,M,WHU,4.5,-1.14
