Name,Team Name,Price,Minutes,Appearances,Shots,On Target,Shots in Box,Big Chances,Expected Goals,Goals,%%xGI,%%GI,xGI,Goal Involvement,Key Passes,Big Chances Created,Expected Assists,Assists,Expected Points,BPS,Bonus Points,Points,Shots Outside Box,Headed Shots,NPxG,Goals In Box,Goals from Outside Box,Headed Goals,Final 3rd Passes,Final 3rd Successesful Passes,%% Final 3rd Successful,Total Crosses,Successful Crosses,%% Successful Crosses,Total Passes,Successful Passes,%% Successful Passes,Opposition Half Passes,Successful Opposition Half Passes,%% Successful Opposition Half Passes,Total Throughballs,Accurate Throughballs,Total Touches,Touches in Box,Entries into Final 3rd,Entries into Box,Fouled in Final 3rd,Fouled in Box,Total Corners,Corners into Box,Total Indirect FK,Accurate Indirect FK,Total Direct FK,Goals Direct FK,Total Penalties,Penalty Goals,Cleansheet,Goals Conceded,Total Tackles,Tackles Won,%% Accurate Tackles,Recovery,Clearances,Blocks,Interceptions,CBI,Shots Conceded,Shots Conceded In Box,Shots Conceded OT,SP,Headed Shots Conceded,BC Conceded,xGC,xCS,Saves,Yellow Card,Red Card,Threat,Creativity,Influence,xAtt,bBPS,aPts
Ayling (D),LEE,4.3,90,2 (0),1.5,1,1.5,0.5,0.34,0.5,0.22,0.4,0.6,4,1,0.5,0.29,0.5,4.88,24.5,1.5,7,0,0,0.34,0.5,0,0,20,11,55,2.5,0,0,46,31,67,28.5,14.5,51,1,0.5,70,4,13,5.5,0,0,0,0,0,0,0,0,0,0,0,1.5,4.5,3,67,8.5,0.5,0,1.5,2,13,6.5,6,2,1,2,1.64,0.18,0,0.5,0,32.5,14.95,32.3,2.88,14,5.5
Marçal (D),WOL,4.2,90,1 (0),1,0,0,0,0.02,0,0.12,0,0.1,0,1,0,0.06,0,5.11,27,1,7,1,0,0.02,0,0,0,10,7,70,4,0,0,39,33,85,25,17,68,0,0,60,1,4,5,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4,2,0,4,6,7,3,2,0,1,0,0.42,0.6,0,0,0,10,12.4,11.8,0.29,15,5
Jonny (D),WOL,4.5,89,2 (0),1.5,1,1,0.5,0.31,0.5,0.33,0.33,0.4,3,2,0,0.11,0,5.27,22,0,6.5,0.5,0,0.31,0.5,0,0,11.5,10.5,91,1,0.5,50,39.5,33.5,85,23,19.5,85,0,0,71.5,2.5,3,1,1,0,0,0,0,0,0,0,0,0,0.5,1.5,2,1.5,75,4,0,0,1.5,1.5,11,7,4,0.5,1,3,1.66,0.32,0,0,0,20.5,25.85,28.4,2.2,10,4.5
Alexander-Arnold (D),LIV,8.4,90,2 (0),0.5,0,0.5,0,0,0,0.06,0,0.1,0,3,0,0.11,0,4.17,23.5,0.5,6.5,0,0,0,0,0,0,21,14,67,9,4,44,42.5,32.5,76,38.5,25.5,66,0.5,0.5,69.5,1,13,11.5,0,0,4,5,1,0,0,0,0,0,1,0,2,1,50,4,0,0,1.5,1.5,8.5,3.5,2.5,0,0.5,1,0.78,0.42,0,0,0,3,50.4,16.2,0.36,11.5,4.5
Mitchell (D),CRY,4.5,90,1 (0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,22,0,6,0,0,0,0,0,0,6,4,67,0,0,0,26,13,50,11,6,55,0,0,48,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,4,2,50,8,5,0,0,5,19,13,4,1,1,4,2.15,0.1,0,0,0,0,0.6,20.6,0,10,4
Clyne (D),CRY,4.3,90,1 (0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,21,0,6,0,0,0,0,0,0,2,2,100,0,0,0,21,15,71,5,3,60,0,0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,2,0,2,4,19,13,4,1,1,4,2.15,0.1,0,0,0,0,0.4,8,0,9,4
Andersen (D),CRY,4.5,90,1 (0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,24,0,6,0,0,0,0,0,0,11,4,36,2,0,0,43,31,72,22,9,41,0,0,55,1,9,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,1,2,10,19,13,4,1,1,4,2.15,0.1,0,0,0,2,0.3,19.2,0.04,12,4
Walker (D),MCI,5.4,90,1 (0),0,0,0,0,0,0,0.02,0,0,0,1,0,0.04,0,5.33,22,0,6,0,0,0,0,0,0,24,23,96,5,0,0,58,52,90,47,39,83,0,0,81,1,7,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,1,2,7,6,1,0,1,0,0.27,0.71,0,0,0,2,16.9,7.4,0.14,10,4
Guéhi (D),CRY,4.5,90,1 (0),0,0,0,0,0,0,0.15,0,0,0,1,0,0.04,0,1.97,23,0,6,0,0,0,0,0,0,2,1,50,0,0,0,24,15,63,10,3,30,0,0,36,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,9,0,0,9,19,13,4,1,1,4,2.15,0.1,0,0,0,2,10.5,18.4,0.14,11,4
Laporte (D),MCI,5.8,90,1 (0),2,0,2,2,0.59,0,0.28,0,0.6,0,0,0,0.02,0,8.96,26,0,6,0,1,0.59,0,0,0,18,15,83,0,0,0,127,117,92,60,52,87,0,0,140,3,14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,4,0,3,7,7,6,1,0,1,0,0.27,0.71,0,0,0,10,3.8,24,3.59,14,4
Romero (D),TOT,4.8,90,3 (0),0.67,0.33,0.67,0,0.07,0.33,0.06,0.14,0.1,1,1,0,0.06,0,4.1,22,1,5.67,0,0,0.07,0.33,0,0,12.33,9,73,0,0,0,76.67,69,90,32,27.67,86,0,0,87,1,6.67,2,0,0,0,0,0,0,0,0,0,0,0.33,1.33,3.33,1.67,50,7.33,1.67,0,1,2.67,10.33,7.67,2.33,0.33,3,1,0.81,0.44,0,0.33,0,12.33,13.07,28.53,0.59,14,4
Krafth (D),NEW,4.3,89,1 (0),1,1,0,0,0.15,0,0.15,0,0.2,0,0,0,0.02,0,3.44,14,0,5,1,0,0.15,0,0,0,17,8,47,2,0,0,40,25,63,26,13,50,0,0,63,2,10,3,0,0,0,0,0,0,0,0,0,0,1,0,3,2,67,4,1,0,1,2,9,5,3,0,1,1,0.86,0.38,0,1,0,11,1.8,7.8,0.96,2,4
Gabriel (D),ARS,5.3,90,3 (0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15,23.33,0.67,5,0,0,0,0,0,0,4,3.33,83,0,0,0,63.67,59.67,94,17,15.33,90,0,0,73.33,0.67,4,0.33,0,0,0,0,0,0,0,0,0,0,0.67,0.67,0.33,0.33,100,5.33,3.33,1,1,5.33,7.67,5.33,2.33,0.33,2,0.67,0.7,0.49,0,0,0,1.33,0.9,17.27,0.03,15.33,3
White (D),ARS,4.5,90,3 (0),0.67,0.33,0.67,0,0.06,0,0.05,0,0.1,0,0,0,0.02,0,4.53,24.33,0.67,5,0,0,0.06,0,0,0,8.33,2.67,32,0,0,0,70.33,62,88,21.67,15.67,72,0,0,84,0.67,8.33,0.33,0,0,0,0,0,0,0,0,0,0,0.67,0.67,1.67,1.33,80,5.33,4,0,2.67,6.67,7.67,5.33,2.33,0.33,2,0.67,0.7,0.49,0,0,0,7,0.6,18.33,0.38,16.33,3
Kouyaté (D),CRY,4.5,90,1 (0),1,0,1,0,0.01,0,0.22,0,0.1,0,1,0,0.05,0,1.01,19,0,5,0,1,0.01,0,0,0,5,2,40,0,0,0,21,13,62,9,2,22,0,0,38,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,67,2,2,3,1,6,19,13,4,1,1,4,2.15,0.1,0,1,0,7,10.7,25.2,0.24,7,4
Rüdiger (D),CHE,6.1,90,1 (0),1,0,1,0,0.01,0,0.02,0,0,0,0,0,0.01,0,3.91,18,0,5,0,1,0.01,0,0,0,15,11,73,0,0,0,74,65,88,34,27,79,0,0,84,2,10,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,3,0,0,3,7,5,2,3,2,0,0.37,0.68,0,1,0,6,3.8,9.6,0.11,6,4
Coleman (D),EVE,4.9,90,2 (0),0.5,0,0.5,0,0.03,0,0.14,0,0.1,0,1,0,0.06,0,3.92,15.5,0.5,4.5,0,0,0.03,0,0,0,8.5,4,47,0.5,0.5,100,24,15.5,65,16.5,10,61,0,0,40,2.5,5.5,1,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,7.5,1.5,0.5,0.5,2.5,15.5,6.5,4.5,2,2,0,0.9,0.4,0,0,0,13,13.45,12.2,0.35,9.5,2.5
Tierney (D),ARS,5.1,90,3 (0),0,0,0,0,0,0,0.01,0,0,0,0.33,0,0.01,0,4.13,21.33,0,4.33,0,0,0,0,0,0,14.33,10,70,4,0.67,17,49,40,82,32,21.67,68,0,0,72.33,0,8,5.33,0,0,0,0,0,0,0,0,0,0,0.67,0.67,1.33,0.67,50,4,3,0.67,0.33,4,7.67,5.33,2.33,0.33,2,0.67,0.7,0.49,0,0,0,0,8.6,16.93,0.03,13.33,2.33
Pinnock (D),BRE,4.5,90,2 (0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56,18.5,1,4,0,0,0,0,0,0,8.5,5,59,0.5,0,0,56,43.5,78,16.5,10,61,0,0,73,0.5,7.5,4.5,0,0,0,0,0,0,0,0,0,0,0.5,1,1.5,1,67,3,6.5,0,1,7.5,9.5,4.5,2.5,1,1,2.5,1.21,0.28,0,0.5,0,1,0.55,17.7,0.02,12.5,2.5
Cédric (D),ARS,4.2,90,3 (0),0.67,0,0.33,0,0.01,0,0.03,0,0.1,0,0.67,0,0.04,0,3.95,21.33,0,4,0.33,0,0.01,0,0,0,12,9.67,81,3.33,0.33,10,55.67,47.33,85,26.67,19,71,0,0,79.33,1,7.67,2.67,0.33,0,0.33,1.33,1,0,0,0,0,0,0.67,0.67,2,1.67,84,5,2.67,0.33,0,3,7.67,5.33,2.33,0.33,2,0.67,0.7,0.49,0,0.33,0,7.67,10.67,13.87,0.21,13.33,2.33
Telles (D),MUN,5,90,1 (0),0,0,0,0,0,0,0.05,0.33,0.1,3,2,0,0.07,1,2.61,21,0,4,0,0,0,0,0,0,12,6,50,6,2,33,45,34,76,32,20,63,0,0,65,0,4,8,0,0,4,5,1,0,0,0,0,0,0,2,2,2,100,8,1,0,0,1,10,7,3,0,1,2,1.61,0.17,0,0,0,0,31.2,25,0.2,12,2
Jansson (D),BRE,4.5,90,2 (0),2,0.5,2,0.5,0.28,0,0.21,0,0.4,0,0.5,0,0.1,0,5.11,18,0.5,4,0,1.5,0.28,0,0,0,3.5,1.5,43,0,0,0,52,42,81,9.5,5.5,58,0,0,65,3,2.5,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,50,4,7,0.5,1.5,9,9.5,4.5,2.5,1,1,2.5,1.21,0.28,0,0,0,38.5,5.35,22.1,2.01,12,2
Reguilón (D),TOT,5.2,89,3 (0),1.67,1,1.33,0.33,0.27,0,0.18,0.14,0.4,1,1.33,0,0.1,0.33,5.4,16,0,3.67,0.33,0.33,0.27,0,0,0,12.33,9,73,4,0,0,36.33,28.33,78,26,17.67,68,0,0,59.67,3.33,2.67,4,0,0,0.67,0.33,0,0,0,0,0,0,0.33,1.33,1,1,100,4,1.67,0.33,0.67,2.67,10.33,7.67,2.33,0.33,3,1,0.81,0.44,0,0.33,0,24.33,17.13,12.33,1.92,9,2
Godfrey (D),EVE,4.7,90,2 (0),1,0.5,0.5,0,0.08,0,0.17,0,0.1,0,0,0,0.02,0,3.66,16,0,3.5,0.5,0.5,0.08,0,0,0,5.5,3.5,64,0.5,0,0,34,28.5,84,11.5,8,70,0,0,57,1.5,5,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,3,1,33,4.5,2.5,1,1,4.5,15.5,6.5,4.5,2,2,0,0.9,0.4,0,0.5,0,11,0.8,18.3,0.58,10,2
Saïss (D),WOL,5.1,90,2 (0),0,0,0,0,0,0,0.02,0,0,0,0.5,0,0.02,0,3.14,20,0,3.5,0,0,0,0,0,0,7,6,86,0,0,0,59.5,49.5,83,15.5,11,71,0,0,72,0.5,4.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,1.5,1,1,100,7,3.5,0.5,2,6,11,7,4,0.5,1,3,1.66,0.32,0,0,0,1,5.9,16.6,0.07,14,1.5
Holgate (D),EVE,4.2,90,2 (0),0,0,0,0,0,0,0.04,0,0,0,0.5,0,0.02,0,3.18,18,0,3.5,0,0,0,0,0,0,8.5,3.5,41,0.5,0,0,47,36.5,78,16,7.5,47,0,0,59,1.5,8,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,100,6.5,4.5,1.5,0.5,6.5,15.5,6.5,4.5,2,2,0,0.9,0.4,0,0.5,0,3,5.55,20,0.11,12,2
Henry (D),BRE,4.5,82,2 (0),0.5,0,0,0,0,0,0.01,0,0,0,0.5,0,0.02,0,3.12,16,0,3.5,0.5,0,0,0,0,0,12.5,6.5,52,2.5,0.5,20,39.5,28,71,25,15.5,62,0,0,66,0.5,8.5,2.5,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,9.5,2,0,0.5,2.5,9.5,4.5,2.5,1,1,2.5,1.21,0.28,0,0,0,1.5,9.3,6.1,0.08,10,1.5
Ajer (D),BRE,4.4,78,2 (0),0,0,0,0,0,0,0.12,0,0.2,0,0.5,0.5,0.21,0,3.73,19.5,0,3.5,0,0,0,0,0,0,8,4,50,1,0.5,50,38.5,30,78,19.5,12,62,0,0,50,2,3.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,1,1,1,100,6,0.5,0.5,0.5,1.5,9.5,4.5,2.5,1,1,2.5,1.21,0.28,0,0,0,4,8.35,10,0.68,13.5,1.5
