Name,Team Name,Price,Minutes,Appearances,Shots,On Target,Shots in Box,Big Chances,Expected Goals,Goals,%%xGI,%%GI,xGI,Goal Involvement,Key Passes,Big Chances Created,Expected Assists,Assists,Expected Points,BPS,Bonus Points,Points,Shots Outside Box,Headed Shots,NPxG,Goals In Box,Goals from Outside Box,Headed Goals,Final 3rd Passes,Final 3rd Successesful Passes,%% Final 3rd Successful,Total Crosses,Successful Crosses,%% Successful Crosses,Total Passes,Successful Passes,%% Successful Passes,Opposition Half Passes,Successful Opposition Half Passes,%% Successful Opposition Half Passes,Total Throughballs,Accurate Throughballs,Total Touches,Touches in Box,Entries into Final 3rd,Entries into Box,Fouled in Final 3rd,Fouled in Box,Total Corners,Corners into Box,Total Indirect FK,Accurate Indirect FK,Total Direct FK,Goals Direct FK,Total Penalties,Penalty Goals,Cleansheet,Goals Conceded,Total Tackles,Tackles Won,%% Accurate Tackles,Recovery,Clearances,Blocks,Interceptions,CBI,Shots Conceded,Shots Conceded In Box,Shots Conceded OT,SP,Headed Shots Conceded,BC Conceded,xGC,xCS,Saves,Yellow Card,Red Card,Threat,Creativity,Influence,xAtt,bBPS,aPts
Konsa (D),AVL,4.9,90,1 (0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,15,0,2,0,0,0,0,0,0,4,4,100,0,0,0,49,49,100,18,18,100,0,0,56,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,1,1,4,10,4,3,1,0,1,0.92,0.38,0,0,0,0,1.3,13,0,15,0
Samir (D),WAT,4.5,90,1 (0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,12,0,2,0,0,0,0,0,0,7,1,14,0,0,0,28,18,64,12,3,25,0,0,41,0,6,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,100,10,5,1,3,9,13,10,7,4,7,2,1.84,0.13,0,0,0,0,0.1,17.4,0,12,0
Llorente (D),LEE,4.5,65,2 (0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,10.5,0,1.5,0,0,0,0,0,0,2.5,1,40,0,0,0,28,23,82,6.5,3.5,54,0,0,38.5,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.5,75,4,2.5,1,1,4.5,13,6.5,6,2,1,2,1.64,0.18,0,0,0,1,0.15,15.1,0.02,10.5,0
Justin (D),LEI,4.9,59,2 (1),1.5,0.5,1.5,0.5,0.25,0,0.42,0,0.5,0,0.5,0.5,0.26,0,3.52,11,0,1.5,0,0,0.25,0,0,0,9.5,8.5,89,0.5,0,0,36.5,34,93,19,17.5,92,0,0,53,3,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,100,4,2.5,0,1.5,4,18,13.5,7,1.5,4.5,2.5,2.38,0.08,0,0,0,22.5,7.85,11,2.26,11,0
Amartey (D),LEI,3.9,90,2 (0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,17,0,1.5,0,0,0,0,0,0,5,5,100,0,0,0,69.5,65.5,94,21.5,20,93,0,0,77.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,9,4,1.5,0.5,6,18,13.5,7,1.5,4.5,2.5,2.38,0.08,0,0,0,0,2,22.2,0,17,-0.5
Johnson (D),WHU,3.9,90,2 (0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,10.5,0,1.5,0,0,0,0,0,0,15,7.5,50,3,1,33,50.5,38,75,29.5,17,58,0,0,72.5,0.5,7,1.5,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0.5,33,5.5,2.5,0,1,3.5,15,10,5.5,1,2,2.5,1.84,0.14,0,0,0,1,7,12.4,0.02,10.5,-0.5
Cash (D),AVL,5.3,90,2 (0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04,8.5,0,1.5,0,0,0,0,0,0,9,5,56,3,0,0,33,22.5,68,22.5,12.5,56,0,0,60,0.5,2.5,4,0.5,0,0,0,0,0,0,0,0,0,0,1.5,1,0,0,3.5,2.5,0.5,2,5,10.5,5.5,3.5,0.5,1.5,1.5,1.16,0.3,0,0,0,1,2.4,13.2,0.02,8.5,-0.5
Young (D),AVL,4.7,85,2 (1),0,0,0,0,0,0,0.02,0,0,0,0.5,0,0.02,0,3.14,12.5,0,1.5,0,0,0,0,0,0,15.5,10.5,68,5,1,20,43,35.5,83,28.5,18.5,65,0,0,63.5,0.5,6.5,4,1,0,0.5,0.5,0,0,0,0,0,0,0,1.5,1,1,100,3.5,1,0.5,0,1.5,10.5,5.5,3.5,0.5,1.5,1.5,1.16,0.3,0,0,0,1,12.55,10,0.07,12.5,-0.5
Manquillo (D),NEW,3.9,45,2 (1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72,3.5,0,1.5,0,0,0,0,0,0,4.5,2.5,56,0.5,0,0,10,7.5,75,7,4,57,0,0,22,0,2,1,0.5,0,0,0,0,0,0,0,0,0,0,1,1.5,0.5,33,2,0,0,0.5,0.5,8.5,5,3,0,1.5,1.5,1,0.32,0,0,0,0,0.95,3.2,0,3.5,0
Taylor (D),BUR,4.4,90,1 (0),1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,8,0,1,1,0,0,0,0,0,8,4,50,4,0,0,26,17,65,14,4,29,0,0,48,0,8,3,0,0,0,0,0,0,0,0,0,0,0,2,3,1,33,11,1,0,2,3,13,7,4,0,2,2,1.76,0.14,0,0,0,1,0.4,9.2,0.02,8,-1
Mykolenko (D),EVE,4.9,59,1 (0),0,0,0,0,0,0,0.07,0,0,0,1,0,0.03,0,3.11,7,0,1,0,0,0,0,0,0,4,2,50,0,0,0,16,11,69,7,4,57,1,1,30,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,100,3,2,0,0,2,14,5,3,2,1,0,0.65,0.51,0,0,0,0,13.7,6.4,0.1,7,0
Walker-Peters (D),SOU,4.8,90,1 (0),1,1,1,0,0.18,0,0.13,0,0.2,0,0,0,0.06,0,3.55,15,0,1,0,0,0.18,0,0,0,20,15,75,3,0,0,42,35,83,33,25,76,0,0,74,5,7,3,1,0,0,0,0,0,0,0,0,0,0,2,3,2,67,13,1,0,1,2,9,6,5,0,0,3,1.77,0.14,0,0,0,25,4,18.2,1.23,15,-1
Cathcart (D),WAT,4.3,1,1 (1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50,1,1,100,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,13,10,7,4,7,2,1.84,0.13,0,0,0,0,0.1,2.2,0,3,0
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,75,1.5,8.5,3,0,0,2,2,0,0,0,0,0,0,0,1.5,0,0,0,2,1,1,0.5,2.5,14,8,8,3,2,2,1.92,0.12,0,1,0,4,0.2,9.2,0.08,2,0
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,75,1.5,8.5,3,0,0,2,2,0,0,0,0,0,0,0,1.5,0,0,0,2,1,1,0.5,2.5,14,8,8,3,2,2,1.92,0.12,0,0,0,3,22.1,17,0.21,13.5,-0.5
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,75,1.5,8.5,3,0,0,2,2,0,0,0,0,0,0,0,1.5,0,0,0,2,1,1,0.5,2.5,15,10,5.5,1,2,2.5,1.84,0.14,0,1,0,4,0.2,9.2,0.08,2,0
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,75,1.5,8.5,3,0,0,2,2,0,0,0,0,0,0,0,1.5,0,0,0,2,1,1,0.5,2.5,15,10,5.5,1,2,2.5,1.84,0.14,0,0,0,3,22.1,17,0.21,13.5,-0.5
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,75,1.5,8.5,3,0,0,2,2,0,0,0,0,0,0,0,1,3,2,67,4,3,0,1,4,14,8,8,3,2,2,1.92,0.12,0,1,0,4,0.2,9.2,0.08,2,0
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,75,1.5,8.5,3,0,0,2,2,0,0,0,0,0,0,0,1,3,2,67,4,3,0,1,4,14,8,8,3,2,2,1.92,0.12,0,0,0,3,22.1,17,0.21,13.5,-0.5
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,75,1.5,8.5,3,0,0,2,2,0,0,0,0,0,0,0,1,3,2,67,4,3,0,1,4,15,10,5.5,1,2,2.5,1.84,0.14,0,1,0,4,0.2,9.2,0.08,2,0
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,75,1.5,8.5,3,0,0,2,2,0,0,0,0,0,0,0,1,3,2,67,4,3,0,1,4,15,10,5.5,1,2,2.5,1.84,0.14,0,0,0,3,22.1,17,0.21,13.5,-0.5
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,75,1.5,8.5,3,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,2,1,1,0.5,2.5,14,8,8,3,2,2,1.92,0.12,0,1,0,4,0.2,9.2,0.08,2,0
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,75,1.5,8.5,3,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,2,1,1,0.5,2.5,14,8,8,3,2,2,1.92,0.12,0,0,0,3,22.1,17,0.21,13.5,-0.5
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,75,1.5,8.5,3,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,2,1,1,0.5,2.5,15,10,5.5,1,2,2.5,1.84,0.14,0,1,0,4,0.2,9.2,0.08,2,0
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,75,1.5,8.5,3,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,2,1,1,0.5,2.5,15,10,5.5,1,2,2.5,1.84,0.14,0,0,0,3,22.1,17,0.21,13.5,-0.5
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,75,1.5,8.5,3,0,0,0,0,0,0,0,0,0,0,0,1,3,2,67,4,3,0,1,4,14,8,8,3,2,2,1.92,0.12,0,1,0,4,0.2,9.2,0.08,2,0
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,75,1.5,8.5,3,0,0,0,0,0,0,0,0,0,0,0,1,3,2,67,4,3,0,1,4,14,8,8,3,2,2,1.92,0.12,0,0,0,3,22.1,17,0.21,13.5,-0.5
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,75,1.5,8.5,3,0,0,0,0,0,0,0,0,0,0,0,1,3,2,67,4,3,0,1,4,15,10,5.5,1,2,2.5,1.84,0.14,0,1,0,4,0.2,9.2,0.08,2,0
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,75,1.5,8.5,3,0,0,0,0,0,0,0,0,0,0,0,1,3,2,67,4,3,0,1,4,15,10,5.5,1,2,2.5,1.84,0.14,0,0,0,3,22.1,17,0.21,13.5,-0.5
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,37,1,2,2,0,0,2,2,0,0,0,0,0,0,0,1.5,0,0,0,2,1,1,0.5,2.5,14,8,8,3,2,2,1.92,0.12,0,1,0,4,0.2,9.2,0.08,2,0
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,37,1,2,2,0,0,2,2,0,0,0,0,0,0,0,1.5,0,0,0,2,1,1,0.5,2.5,14,8,8,3,2,2,1.92,0.12,0,0,0,3,22.1,17,0.21,13.5,-0.5
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,37,1,2,2,0,0,2,2,0,0,0,0,0,0,0,1.5,0,0,0,2,1,1,0.5,2.5,15,10,5.5,1,2,2.5,1.84,0.14,0,1,0,4,0.2,9.2,0.08,2,0
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,37,1,2,2,0,0,2,2,0,0,0,0,0,0,0,1.5,0,0,0,2,1,1,0.5,2.5,15,10,5.5,1,2,2.5,1.84,0.14,0,0,0,3,22.1,17,0.21,13.5,-0.5
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,37,1,2,2,0,0,2,2,0,0,0,0,0,0,0,1,3,2,67,4,3,0,1,4,14,8,8,3,2,2,1.92,0.12,0,1,0,4,0.2,9.2,0.08,2,0
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,37,1,2,2,0,0,2,2,0,0,0,0,0,0,0,1,3,2,67,4,3,0,1,4,14,8,8,3,2,2,1.92,0.12,0,0,0,3,22.1,17,0.21,13.5,-0.5
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,37,1,2,2,0,0,2,2,0,0,0,0,0,0,0,1,3,2,67,4,3,0,1,4,15,10,5.5,1,2,2.5,1.84,0.14,0,1,0,4,0.2,9.2,0.08,2,0
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,37,1,2,2,0,0,2,2,0,0,0,0,0,0,0,1,3,2,67,4,3,0,1,4,15,10,5.5,1,2,2.5,1.84,0.14,0,0,0,3,22.1,17,0.21,13.5,-0.5
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,37,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,2,1,1,0.5,2.5,14,8,8,3,2,2,1.92,0.12,0,1,0,4,0.2,9.2,0.08,2,0
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,37,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,2,1,1,0.5,2.5,14,8,8,3,2,2,1.92,0.12,0,0,0,3,22.1,17,0.21,13.5,-0.5
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,37,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,2,1,1,0.5,2.5,15,10,5.5,1,2,2.5,1.84,0.14,0,1,0,4,0.2,9.2,0.08,2,0
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,37,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,2,1,1,0.5,2.5,15,10,5.5,1,2,2.5,1.84,0.14,0,0,0,3,22.1,17,0.21,13.5,-0.5
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,37,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,3,2,67,4,3,0,1,4,14,8,8,3,2,2,1.92,0.12,0,1,0,4,0.2,9.2,0.08,2,0
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,37,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,3,2,67,4,3,0,1,4,14,8,8,3,2,2,1.92,0.12,0,0,0,3,22.1,17,0.21,13.5,-0.5
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,37,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,3,2,67,4,3,0,1,4,15,10,5.5,1,2,2.5,1.84,0.14,0,1,0,4,0.2,9.2,0.08,2,0
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,63,54.5,87,38.5,30,78,0,0,37,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,3,2,67,4,3,0,1,4,15,10,5.5,1,2,2.5,1.84,0.14,0,0,0,3,22.1,17,0.21,13.5,-0.5
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,25,19,76,9,3,33,0,0,75,1.5,8.5,3,0,0,2,2,0,0,0,0,0,0,0,1.5,0,0,0,2,1,1,0.5,2.5,14,8,8,3,2,2,1.92,0.12,0,1,0,4,0.2,9.2,0.08,2,0
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,25,19,76,9,3,33,0,0,75,1.5,8.5,3,0,0,2,2,0,0,0,0,0,0,0,1.5,0,0,0,2,1,1,0.5,2.5,14,8,8,3,2,2,1.92,0.12,0,0,0,3,22.1,17,0.21,13.5,-0.5
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,25,19,76,9,3,33,0,0,75,1.5,8.5,3,0,0,2,2,0,0,0,0,0,0,0,1.5,0,0,0,2,1,1,0.5,2.5,15,10,5.5,1,2,2.5,1.84,0.14,0,1,0,4,0.2,9.2,0.08,2,0
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,25,19,76,9,3,33,0,0,75,1.5,8.5,3,0,0,2,2,0,0,0,0,0,0,0,1.5,0,0,0,2,1,1,0.5,2.5,15,10,5.5,1,2,2.5,1.84,0.14,0,0,0,3,22.1,17,0.21,13.5,-0.5
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,25,19,76,9,3,33,0,0,75,1.5,8.5,3,0,0,2,2,0,0,0,0,0,0,0,1,3,2,67,4,3,0,1,4,14,8,8,3,2,2,1.92,0.12,0,1,0,4,0.2,9.2,0.08,2,0
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,25,19,76,9,3,33,0,0,75,1.5,8.5,3,0,0,2,2,0,0,0,0,0,0,0,1,3,2,67,4,3,0,1,4,14,8,8,3,2,2,1.92,0.12,0,0,0,3,22.1,17,0.21,13.5,-0.5
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,25,19,76,9,3,33,0,0,75,1.5,8.5,3,0,0,2,2,0,0,0,0,0,0,0,1,3,2,67,4,3,0,1,4,15,10,5.5,1,2,2.5,1.84,0.14,0,1,0,4,0.2,9.2,0.08,2,0
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,25,19,76,9,3,33,0,0,75,1.5,8.5,3,0,0,2,2,0,0,0,0,0,0,0,1,3,2,67,4,3,0,1,4,15,10,5.5,1,2,2.5,1.84,0.14,0,0,0,3,22.1,17,0.21,13.5,-0.5
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,25,19,76,9,3,33,0,0,75,1.5,8.5,3,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,2,1,1,0.5,2.5,14,8,8,3,2,2,1.92,0.12,0,1,0,4,0.2,9.2,0.08,2,0
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,25,19,76,9,3,33,0,0,75,1.5,8.5,3,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,2,1,1,0.5,2.5,14,8,8,3,2,2,1.92,0.12,0,0,0,3,22.1,17,0.21,13.5,-0.5
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,25,19,76,9,3,33,0,0,75,1.5,8.5,3,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,2,1,1,0.5,2.5,15,10,5.5,1,2,2.5,1.84,0.14,0,1,0,4,0.2,9.2,0.08,2,0
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,25,19,76,9,3,33,0,0,75,1.5,8.5,3,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,2,1,1,0.5,2.5,15,10,5.5,1,2,2.5,1.84,0.14,0,0,0,3,22.1,17,0.21,13.5,-0.5
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,25,19,76,9,3,33,0,0,75,1.5,8.5,3,0,0,0,0,0,0,0,0,0,0,0,1,3,2,67,4,3,0,1,4,14,8,8,3,2,2,1.92,0.12,0,1,0,4,0.2,9.2,0.08,2,0
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,25,19,76,9,3,33,0,0,75,1.5,8.5,3,0,0,0,0,0,0,0,0,0,0,0,1,3,2,67,4,3,0,1,4,14,8,8,3,2,2,1.92,0.12,0,0,0,3,22.1,17,0.21,13.5,-0.5
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,25,19,76,9,3,33,0,0,75,1.5,8.5,3,0,0,0,0,0,0,0,0,0,0,0,1,3,2,67,4,3,0,1,4,15,10,5.5,1,2,2.5,1.84,0.14,0,1,0,4,0.2,9.2,0.08,2,0
Cresswell (D),WHU,5.4,73,2 (0),0,0,0,0,0,0,0.06,0,0.1,0,1.5,0,0.06,0,1.87,13.5,0,1,0,0,0,0,0,0,23.5,18.5,79,3,0.5,17,25,19,76,9,3,33,0,0,75,1.5,8.5,3,0,0,0,0,0,0,0,0,0,0,0,1,3,2,67,4,3,0,1,4,15,10,5.5,1,2,2.5,1.84,0.14,0,0,0,3,22.1,17,0.21,13.5,-0.5
