Name,Price,Appearances,Minutes,%%xGI,%%GI,xGI,Goal Involvement,Shots,On Target,Shots in Box,Shots Outside Box,Big Chances,Headed Shots,NPxG,Expected Goals,Goals,Goals In Box,Goals from Outside Box,Headed Goals,Final 3rd Passes,Final 3rd Successesful Passes,%% Final 3rd Successful,Total Crosses,Successful Crosses,%% Successful Crosses,Total Corners,Total Indirect FK,Key Passes,Big Chances Created,Expected Assists,Assists,Saves,Yellow Card,Red Card,Cleansheet,Threat,Creativity,Influence,xAtt,Expected Points,bBPS,BPS,Bonus Points,Points,Goals Conceded,Total Tackles,Tackles Won,%% Accurate Tackles,Recovery,Clearances,Blocks,Interceptions,CBI,Shots Conceded,Shots Conceded In Box,Shots Conceded OT,SP,Headed Shots Conceded,BC Conceded,xGC,Total Passes,Successful Passes,%% Successful Passes,Opposition Half Passes,Successful Opposition Half Passes,%% Successful Opposition Half Passes,Remove1,Remove2,Remove3,Total Throughballs,Accurate Throughballs,Remove4,Remove5,Remove6,Remove7,Total Touches,Touches in Box,Entries into Final 3rd,Entries into Box,Fouled in Final 3rd,Fouled in Box,Corners into Box,Accurate Indirect FK,Total Direct FK,Goals Direct FK,Total Penalties,Penalty Goals,3GW
Son (M) TOT,10.20,13.00,81.38,0.47,0.60,0.70,12.00,2.85,1.08,1.85,1.00,0.38,0.15,0.32,0.32,0.31,0.31,0.00,0.00,14.00,12.23,87.00,1.31,0.31,24.00,0.38,0.00,1.62,0.54,0.34,0.62,0.00,0.00,0.08,0.08,37.69,22.45,27.38,2.60,5.30,8.92,19.31,0.69,5.85,1.38,1.23,0.77,63.00,3.85,0.62,0.00,0.31,0.92,14.15,9.00,5.77,0.77,2.15,1.15,1.47,27.31,23.54,86.00,22.77,19.08,84.00,14.00,12.23,87.00,0.23,0.23,12.00,1.00,4.00,2.46,46.92,6.85,1.46,1.85,0.23,0.08,0.31,0.00,0.00,0.00,0.00,0.00,4.33
Son (M) TOT,10.20,16.00,81.19,0.46,0.52,0.60,14.00,2.62,1.06,1.81,0.81,0.38,0.12,0.31,0.31,0.31,0.31,0.00,0.00,12.75,11.00,86.00,1.44,0.38,26.00,0.44,0.19,1.56,0.50,0.32,0.56,0.00,0.00,0.12,0.12,36.06,21.85,26.86,2.50,5.20,9.19,18.75,0.62,5.56,1.31,1.00,0.62,62.00,4.06,0.50,0.00,0.31,0.81,13.94,8.75,5.25,0.81,2.12,1.12,1.40,26.25,22.31,85.00,21.56,17.75,82.00,12.75,11.00,86.00,0.25,0.25,15.00,1.00,5.00,2.69,45.44,6.25,1.62,2.00,0.25,0.06,0.31,0.06,0.00,0.00,0.00,0.00,4.00
Son (M) TOT,10.20,19.00,66.58,0.28,0.41,0.50,17.00,2.63,1.11,1.53,1.11,0.42,0.00,0.33,0.33,0.53,0.37,0.16,0.00,11.21,8.84,79.00,1.11,0.32,29.00,0.26,0.11,1.00,0.21,0.19,0.37,0.00,0.05,0.00,0.42,35.63,16.14,28.19,2.20,4.70,7.84,20.63,0.79,6.63,0.63,0.95,0.53,56.00,3.42,0.11,0.05,0.26,0.42,11.68,7.32,4.26,0.89,2.00,1.47,1.30,25.42,21.53,85.00,20.42,16.37,80.00,11.21,8.84,79.00,0.16,0.11,14.00,5.00,11.00,1.53,40.00,4.58,1.05,1.58,0.26,0.05,0.21,0.05,0.05,0.00,0.00,0.00,3.33
Son (M) TOT,10.20,16.00,84.38,0.42,0.59,0.70,17.00,1.75,1.06,1.19,0.56,0.81,0.06,0.43,0.43,0.75,0.62,0.12,0.06,10.50,8.38,80.00,4.00,1.31,33.00,2.38,0.81,1.94,0.38,0.28,0.31,0.00,0.00,0.00,0.50,31.62,28.71,38.35,3.00,5.80,10.12,26.44,1.12,8.25,0.56,0.75,0.50,67.00,3.94,0.06,0.19,0.44,0.69,13.06,8.44,4.19,1.50,2.31,1.06,1.26,26.12,21.69,83.00,22.81,16.62,73.00,10.50,8.38,80.00,0.06,0.00,16.00,0.00,9.00,0.75,41.94,3.19,1.62,4.50,0.50,0.00,2.25,0.25,0.00,0.00,0.00,0.00,3.00
Son (M) TOT,10.20,17.00,84.71,0.43,0.57,0.80,17.00,1.88,1.12,1.35,0.53,1.00,0.18,0.49,0.49,0.71,0.59,0.12,0.06,10.35,8.29,80.00,4.06,1.29,32.00,2.53,0.76,1.82,0.35,0.27,0.29,0.00,0.00,0.00,0.47,33.18,27.49,36.51,3.30,6.10,9.29,24.65,1.06,7.88,0.59,0.71,0.47,66.00,4.06,0.06,0.18,0.41,0.65,13.18,8.53,4.18,1.41,2.29,1.06,1.25,26.18,21.82,83.00,22.65,16.47,73.00,10.35,8.29,80.00,0.06,0.00,17.00,0.00,9.00,0.94,42.06,3.24,1.71,4.59,0.47,0.00,2.41,0.24,0.00,0.00,0.00,0.00,3.00
Son (M) TOT,10.20,4.00,87.25,0.46,0.57,0.70,4.00,4.00,1.75,2.50,1.50,0.25,0.00,0.39,0.39,0.50,0.50,0.00,0.00,20.75,18.50,89.00,1.25,0.25,20.00,0.25,0.00,2.00,0.25,0.27,0.50,0.00,0.00,0.00,0.25,49.25,27.88,31.10,2.80,5.50,8.25,21.75,0.75,7.00,1.25,0.25,0.25,100.00,2.50,1.00,0.00,0.50,1.50,15.25,9.75,6.00,0.75,2.25,1.00,1.44,36.00,31.50,88.00,31.75,27.75,87.00,20.75,18.50,89.00,0.25,0.25,4.00,0.00,1.00,1.75,56.75,8.25,1.50,3.50,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,2.67
Son (M) TOT,10.20,5.00,82.60,0.43,0.56,0.60,5.00,3.40,1.60,2.20,1.20,0.20,0.20,0.35,0.35,0.40,0.40,0.00,0.00,18.20,15.80,87.00,1.20,0.20,17.00,0.20,0.00,2.20,0.20,0.25,0.60,0.00,0.00,0.00,0.20,46.80,29.26,31.00,2.50,5.30,7.20,19.80,0.60,6.60,1.20,1.00,0.40,40.00,2.80,0.80,0.00,0.40,1.20,15.00,9.40,6.00,1.00,2.20,1.00,1.43,32.60,27.80,85.00,28.00,24.00,86.00,18.20,15.80,87.00,0.40,0.40,5.00,0.00,2.00,2.00,53.80,8.80,1.60,3.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,2.67
Son (M) TOT,10.20,6.00,81.00,0.40,0.56,0.50,5.00,2.83,1.33,1.83,1.00,0.17,0.17,0.30,0.30,0.33,0.33,0.00,0.00,16.67,14.50,87.00,1.17,0.17,15.00,0.17,0.00,1.83,0.17,0.21,0.50,0.00,0.00,0.00,0.17,40.33,24.78,27.30,2.10,4.90,8.00,18.50,0.50,5.83,1.50,1.17,0.67,57.00,3.00,0.67,0.00,0.33,1.00,15.33,9.50,6.00,1.00,2.00,1.17,1.50,30.67,26.00,85.00,25.67,21.67,84.00,16.67,14.50,87.00,0.33,0.33,6.00,0.00,3.00,2.17,50.67,8.00,1.33,2.50,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,2.67
Son (M) TOT,10.20,20.00,67.75,0.28,0.41,0.50,18.00,2.70,1.10,1.50,1.20,0.45,0.00,0.34,0.34,0.55,0.35,0.20,0.00,11.30,8.85,78.00,1.05,0.30,29.00,0.25,0.10,1.00,0.20,0.19,0.35,0.00,0.10,0.00,0.40,35.90,16.10,28.51,2.30,4.70,7.25,20.30,0.75,6.60,0.65,0.90,0.50,56.00,3.45,0.10,0.05,0.25,0.40,12.10,7.80,4.50,0.90,2.25,1.65,1.40,25.40,21.45,84.00,20.55,16.50,80.00,11.30,8.85,78.00,0.15,0.10,15.00,5.00,11.00,1.45,39.80,4.40,1.15,1.65,0.25,0.05,0.20,0.05,0.05,0.00,0.00,0.00,2.00
Son (M) TOT,10.20,18.00,84.94,0.44,0.55,0.80,18.00,1.89,1.06,1.39,0.50,1.00,0.17,0.48,0.48,0.67,0.56,0.11,0.06,10.39,8.28,80.00,4.33,1.33,31.00,2.78,0.72,1.89,0.39,0.28,0.33,0.00,0.00,0.00,0.44,33.22,28.29,35.62,3.30,6.10,9.22,24.22,1.00,7.72,0.61,0.67,0.44,66.00,4.06,0.06,0.17,0.44,0.67,13.28,8.44,4.22,1.39,2.33,1.06,1.25,25.83,21.39,83.00,22.72,16.28,72.00,10.39,8.28,80.00,0.06,0.00,18.00,0.00,10.00,0.94,41.83,3.50,1.78,4.83,0.44,0.00,2.67,0.22,0.00,0.00,0.00,0.00,2.00
Sterling (M) MCI,10.60,21.00,83.29,0.33,0.40,0.70,20.00,1.90,1.05,1.57,0.33,0.52,0.14,0.37,0.37,0.48,0.43,0.05,0.10,19.86,15.57,78.00,2.67,0.38,14.00,0.90,0.00,2.14,0.38,0.32,0.48,0.00,0.10,0.00,0.43,45.57,30.04,31.57,2.80,5.60,10.38,23.24,0.76,6.86,0.76,0.86,0.52,60.00,3.81,0.19,0.05,0.57,0.81,6.67,4.48,2.52,0.67,1.24,1.19,0.89,39.10,33.57,86.00,35.05,28.10,80.00,19.86,15.57,78.00,0.24,0.00,20.00,1.00,6.00,2.57,59.90,9.14,1.05,4.29,0.57,0.05,0.62,0.00,0.05,0.00,0.00,0.00,9.67
Sterling (M) MCI,10.60,24.00,81.67,0.33,0.41,0.70,25.00,1.92,1.04,1.54,0.38,0.54,0.12,0.38,0.38,0.50,0.46,0.04,0.08,19.42,15.21,78.00,2.42,0.38,16.00,0.79,0.00,2.21,0.46,0.34,0.54,0.00,0.08,0.00,0.42,45.08,30.57,33.50,2.90,5.70,10.92,24.79,0.83,7.21,0.71,0.92,0.58,63.00,3.79,0.17,0.04,0.58,0.79,6.67,4.29,2.50,0.58,1.12,1.12,0.87,38.33,32.92,86.00,34.04,27.46,81.00,19.42,15.21,78.00,0.21,0.00,22.00,2.00,6.00,2.75,59.12,9.00,1.04,4.29,0.54,0.08,0.54,0.00,0.04,0.00,0.00,0.00,8.33
Sterling (M) MCI,10.60,15.00,87.60,0.36,0.25,0.90,9.00,3.07,1.00,2.73,0.33,1.07,0.33,0.56,0.56,0.53,0.53,0.00,0.07,23.73,17.73,75.00,2.60,0.47,18.00,0.00,0.00,1.73,0.47,0.38,0.07,0.00,0.27,0.00,0.33,64.53,27.37,29.03,3.90,6.60,8.33,18.53,0.47,5.40,1.20,1.20,0.67,56.00,3.80,0.27,0.07,0.53,0.87,7.67,5.47,3.73,0.60,1.33,1.73,1.21,39.60,32.07,81.00,35.73,27.00,76.00,23.73,17.73,75.00,0.47,0.20,15.00,0.00,3.00,2.40,61.60,12.00,1.33,4.27,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33
Sterling (M) MCI,10.60,8.00,80.00,0.26,0.30,0.50,3.00,2.00,0.75,1.50,0.50,0.25,0.25,0.24,0.24,0.25,0.25,0.00,0.00,15.12,11.25,74.00,0.75,0.00,0.00,0.00,0.00,1.12,0.25,0.21,0.12,0.00,0.12,0.00,0.25,36.25,16.59,16.10,1.80,4.30,5.12,10.75,0.62,4.25,1.12,0.88,0.25,28.00,4.12,0.12,0.00,0.12,0.25,7.88,4.75,3.25,0.38,1.12,1.88,1.32,31.00,25.75,83.00,25.50,19.88,78.00,15.12,11.25,74.00,0.00,0.00,7.00,1.00,1.00,1.88,47.88,7.62,2.38,1.75,0.38,0.00,0.00,0.00,0.12,0.00,0.00,0.00,7.67
Sterling (M) MCI,10.60,20.00,82.95,0.34,0.41,0.70,20.00,2.00,1.10,1.65,0.35,0.55,0.15,0.39,0.39,0.50,0.45,0.05,0.10,20.35,15.95,78.00,2.65,0.40,15.00,0.95,0.00,2.25,0.40,0.33,0.50,0.00,0.05,0.00,0.45,47.55,31.26,33.15,3.00,5.80,11.10,24.60,0.80,7.15,0.70,0.90,0.55,61.00,3.95,0.20,0.05,0.60,0.85,6.65,4.50,2.55,0.65,1.25,1.20,0.89,39.70,34.10,86.00,35.55,28.50,80.00,20.35,15.95,78.00,0.25,0.00,19.00,1.00,6.00,2.60,60.70,9.45,1.10,4.35,0.55,0.05,0.65,0.00,0.05,0.00,0.00,0.00,7.50
Sterling (M) MCI,10.60,15.00,79.20,0.31,0.45,0.60,9.00,2.00,0.87,1.67,0.33,0.60,0.20,0.34,0.38,0.27,0.27,0.00,0.00,15.13,11.60,77.00,0.53,0.00,0.00,0.07,0.00,1.20,0.33,0.26,0.33,0.00,0.07,0.00,0.40,41.33,17.24,19.29,2.70,5.40,5.73,13.53,0.60,5.00,0.73,0.73,0.33,45.00,3.40,0.20,0.00,0.40,0.60,7.67,4.67,2.53,0.33,1.53,1.20,0.93,32.13,27.13,84.00,25.73,20.87,81.00,15.13,11.60,77.00,0.00,0.00,13.00,2.00,1.00,1.87,48.93,7.60,2.00,1.47,0.53,0.07,0.00,0.00,0.07,0.00,0.07,0.00,7.33
Sterling (M) MCI,10.60,10.00,82.00,0.29,0.42,0.50,5.00,2.10,0.90,1.70,0.40,0.50,0.20,0.34,0.34,0.30,0.30,0.00,0.00,14.70,10.90,74.00,0.60,0.00,0.00,0.10,0.00,0.90,0.20,0.19,0.20,0.00,0.10,0.00,0.40,39.70,14.06,17.64,2.30,4.90,4.80,12.00,0.70,5.00,0.90,0.80,0.30,38.00,4.00,0.10,0.00,0.20,0.30,8.00,4.90,2.90,0.30,1.40,1.50,1.11,31.00,25.90,84.00,25.20,19.90,79.00,14.70,10.90,74.00,0.00,0.00,9.00,1.00,1.00,1.80,48.30,7.60,2.30,1.60,0.40,0.10,0.00,0.00,0.10,0.00,0.00,0.00,7.00
Sterling (M) MCI,10.60,6.00,89.33,0.42,0.32,1.20,6.00,3.50,1.50,3.17,0.33,1.50,0.50,0.77,0.77,1.00,1.00,0.00,0.17,20.33,14.17,70.00,2.00,0.50,25.00,0.00,0.00,2.00,0.50,0.42,0.00,0.00,0.33,0.00,0.33,73.67,30.12,43.80,5.10,7.70,8.00,26.00,0.67,7.67,1.17,1.50,1.00,67.00,3.00,0.33,0.00,0.33,0.67,7.17,5.67,4.17,1.00,2.00,2.33,1.45,34.67,27.00,78.00,30.00,22.00,73.00,20.33,14.17,70.00,0.83,0.17,6.00,0.00,1.00,1.33,53.00,10.50,1.00,3.67,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00
Sterling (M) MCI,10.60,16.00,87.75,0.36,0.26,0.90,10.00,3.12,1.00,2.75,0.38,1.06,0.31,0.56,0.56,0.56,0.56,0.00,0.06,23.38,17.50,75.00,2.44,0.44,18.00,0.00,0.00,1.75,0.44,0.36,0.06,0.00,0.25,0.00,0.38,63.69,27.62,29.55,3.90,6.50,8.62,19.31,0.56,5.69,1.12,1.19,0.69,58.00,3.75,0.25,0.06,0.50,0.81,7.56,5.25,3.56,0.56,1.31,1.69,1.17,40.44,33.06,82.00,35.69,27.25,76.00,23.38,17.50,75.00,0.50,0.19,16.00,0.00,3.00,2.31,61.94,11.56,1.31,4.25,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00
Sterling (M) MCI,10.60,9.00,81.11,0.30,0.42,0.60,5.00,2.22,1.00,1.78,0.44,0.56,0.22,0.37,0.37,0.33,0.33,0.00,0.00,14.78,10.78,73.00,0.67,0.00,0.00,0.00,0.00,1.00,0.22,0.21,0.22,0.00,0.11,0.00,0.33,40.78,15.17,19.16,2.50,5.10,5.22,13.22,0.78,5.22,1.00,0.78,0.22,28.00,4.00,0.11,0.00,0.22,0.33,7.67,4.67,3.00,0.33,1.22,1.67,1.19,31.44,26.11,83.00,25.78,20.11,78.00,14.78,10.78,73.00,0.00,0.00,8.00,1.00,1.00,1.89,48.44,7.67,2.33,1.56,0.44,0.11,0.00,0.00,0.11,0.00,0.00,0.00,6.00
Sterling (M) MCI,10.60,18.00,80.00,0.29,0.39,0.60,12.00,2.11,0.83,1.78,0.33,0.56,0.17,0.34,0.37,0.33,0.28,0.06,0.00,16.33,12.94,79.00,0.78,0.00,0.00,0.06,0.00,1.17,0.28,0.24,0.33,0.00,0.06,0.00,0.50,44.78,17.19,21.52,2.60,5.30,5.94,14.94,0.50,5.39,0.61,0.83,0.39,47.00,3.22,0.17,0.00,0.39,0.56,7.33,4.50,2.39,0.33,1.33,1.06,0.85,33.89,29.11,86.00,28.00,23.06,82.00,16.33,12.94,79.00,0.00,0.00,16.00,2.00,2.00,1.94,51.11,8.17,1.83,1.61,0.44,0.06,0.00,0.00,0.11,0.06,0.06,0.00,5.75
Sterling (M) MCI,10.60,19.00,80.53,0.31,0.39,0.70,13.00,2.16,0.95,1.84,0.32,0.63,0.16,0.38,0.41,0.37,0.32,0.05,0.00,16.74,13.42,80.00,0.74,0.00,0.00,0.05,0.00,1.21,0.26,0.24,0.32,0.00,0.05,0.00,0.53,46.37,17.76,23.05,2.80,5.50,6.00,15.47,0.47,5.53,0.58,0.84,0.42,50.00,3.16,0.16,0.00,0.42,0.58,7.05,4.32,2.26,0.32,1.26,1.00,0.80,34.05,29.37,86.00,28.37,23.53,83.00,16.74,13.42,80.00,0.00,0.00,17.00,2.00,2.00,2.00,51.63,8.11,1.74,1.79,0.42,0.05,0.00,0.00,0.11,0.05,0.05,0.00,5.75
Sterling (M) MCI,10.60,7.00,89.43,0.41,0.32,1.10,6.00,3.43,1.43,3.00,0.43,1.29,0.43,0.69,0.69,0.86,0.86,0.00,0.14,21.43,15.14,71.00,2.14,0.43,20.00,0.00,0.00,1.86,0.43,0.38,0.00,0.00,0.29,0.00,0.29,70.14,28.40,39.26,4.60,7.20,8.43,23.86,0.57,6.86,1.29,1.43,0.86,60.00,3.00,0.29,0.00,0.29,0.57,7.14,5.43,3.86,0.86,1.86,2.43,1.42,36.29,28.43,78.00,31.71,23.43,74.00,21.43,15.14,71.00,0.71,0.14,7.00,0.00,1.00,1.86,56.00,9.71,1.29,4.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.67
Sterling (M) MCI,10.60,14.00,87.43,0.37,0.26,1.00,9.00,3.14,1.07,2.79,0.36,1.14,0.36,0.59,0.59,0.57,0.57,0.00,0.07,22.79,16.79,74.00,2.43,0.50,21.00,0.00,0.00,1.71,0.50,0.39,0.07,0.00,0.29,0.00,0.36,64.14,27.14,29.76,4.10,6.70,8.14,19.07,0.50,5.64,1.14,1.14,0.64,56.00,3.64,0.21,0.07,0.43,0.71,7.43,5.21,3.50,0.64,1.43,1.79,1.17,38.86,31.29,81.00,34.64,26.07,75.00,22.79,16.79,74.00,0.50,0.21,14.00,0.00,3.00,2.21,60.07,11.50,1.29,4.14,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.67
Sterling (M) MCI,10.60,19.00,82.58,0.34,0.41,0.70,19.00,2.05,1.11,1.68,0.37,0.53,0.11,0.39,0.39,0.47,0.42,0.05,0.05,20.53,16.05,78.00,2.74,0.42,15.00,1.00,0.00,2.32,0.42,0.34,0.53,0.00,0.05,0.00,0.42,47.79,32.12,32.58,3.00,5.80,10.84,24.11,0.74,7.00,0.74,0.89,0.53,60.00,3.95,0.21,0.05,0.58,0.84,6.74,4.58,2.58,0.68,1.21,1.21,0.90,40.00,34.26,86.00,35.79,28.58,80.00,20.53,16.05,78.00,0.26,0.00,18.00,1.00,6.00,2.47,60.95,9.63,1.05,4.53,0.58,0.05,0.68,0.00,0.05,0.00,0.00,0.00,5.50
Sterling (M) MCI,10.60,14.00,84.29,0.31,0.47,0.60,9.00,2.00,0.93,1.64,0.36,0.57,0.21,0.37,0.37,0.29,0.29,0.00,0.00,16.14,12.36,77.00,0.57,0.00,0.00,0.07,0.00,1.29,0.36,0.27,0.36,0.00,0.07,0.00,0.43,42.29,18.45,20.67,2.60,5.40,6.79,15.14,0.64,5.43,0.79,0.79,0.36,46.00,3.50,0.21,0.00,0.43,0.64,7.86,4.86,2.64,0.36,1.64,1.29,0.98,34.07,28.79,85.00,27.50,22.29,81.00,16.14,12.36,77.00,0.00,0.00,13.00,1.00,1.00,2.00,51.64,7.86,2.14,1.57,0.57,0.07,0.00,0.00,0.07,0.00,0.00,0.00,5.25
Sterling (M) MCI,10.60,13.00,88.62,0.38,0.29,1.00,9.00,3.15,1.08,2.77,0.38,1.15,0.38,0.59,0.59,0.62,0.62,0.00,0.08,22.69,16.62,73.00,2.54,0.54,21.00,0.00,0.00,1.85,0.54,0.40,0.08,0.00,0.31,0.00,0.31,62.85,28.58,31.28,4.20,6.80,8.23,20.00,0.54,5.85,1.23,1.15,0.69,60.00,3.23,0.23,0.08,0.46,0.77,7.69,5.38,3.62,0.69,1.46,1.85,1.21,37.62,30.08,80.00,34.00,25.38,75.00,22.69,16.62,73.00,0.54,0.23,13.00,0.00,2.00,2.15,58.85,11.69,1.23,4.08,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
Sterling (M) MCI,10.60,5.00,90.00,0.43,0.31,1.30,5.00,3.60,1.60,3.20,0.40,1.60,0.60,0.81,0.81,1.00,1.00,0.00,0.20,19.80,14.20,72.00,2.00,0.40,20.00,0.00,0.00,1.60,0.60,0.44,0.00,0.00,0.40,0.00,0.40,73.20,25.68,43.32,5.30,7.90,9.20,27.20,0.80,7.80,1.20,1.60,1.20,75.00,3.20,0.40,0.00,0.40,0.80,6.20,4.80,3.40,0.60,1.20,2.00,1.22,33.00,26.20,79.00,28.60,21.00,73.00,19.80,14.20,72.00,0.80,0.20,5.00,0.00,0.00,1.40,50.60,9.80,0.80,3.40,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.67
Sterling (M) MCI,10.60,8.00,89.50,0.41,0.33,1.10,7.00,3.50,1.25,3.12,0.38,1.38,0.38,0.68,0.68,0.75,0.75,0.00,0.12,21.62,15.50,72.00,2.12,0.38,18.00,0.00,0.00,2.00,0.62,0.45,0.12,0.00,0.38,0.00,0.38,65.88,30.08,37.00,4.80,7.30,8.75,23.38,0.50,6.62,1.12,1.50,1.00,67.00,3.38,0.25,0.00,0.50,0.75,7.12,5.38,3.62,0.88,1.88,2.25,1.33,36.25,28.62,79.00,32.00,23.88,75.00,21.62,15.50,72.00,0.88,0.38,8.00,0.00,1.00,2.00,56.25,10.25,1.25,3.88,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.67
Sterling (M) MCI,10.60,17.00,87.82,0.35,0.26,0.90,11.00,3.06,1.00,2.71,0.35,1.00,0.29,0.54,0.54,0.53,0.53,0.00,0.06,23.35,17.47,75.00,2.29,0.41,18.00,0.00,0.00,1.82,0.41,0.36,0.12,0.00,0.24,0.00,0.35,64.00,28.13,28.25,3.80,6.40,8.53,19.12,0.53,5.65,1.12,1.12,0.65,58.00,3.71,0.24,0.06,0.47,0.76,7.41,5.12,3.47,0.53,1.24,1.71,1.16,40.29,32.94,82.00,35.65,27.29,77.00,23.35,17.47,75.00,0.47,0.18,17.00,0.00,4.00,2.24,61.47,11.53,1.29,4.12,0.47,0.06,0.00,0.00,0.00,0.00,0.00,0.00,4.67
Sterling (M) MCI,10.60,11.00,88.36,0.38,0.30,1.10,8.00,3.36,1.00,3.00,0.36,1.18,0.45,0.60,0.60,0.64,0.64,0.00,0.09,23.55,17.00,72.00,2.45,0.55,22.00,0.00,0.00,2.00,0.64,0.45,0.09,0.00,0.36,0.00,0.36,65.27,30.22,32.02,4.30,6.80,8.64,20.91,0.64,6.09,1.18,1.36,0.82,60.00,3.18,0.27,0.00,0.45,0.73,7.55,5.55,3.82,0.73,1.73,2.09,1.32,36.91,29.09,79.00,33.64,24.91,74.00,23.55,17.00,72.00,0.64,0.27,11.00,0.00,2.00,2.45,58.73,12.55,1.36,4.27,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
Sterling (M) MCI,10.60,12.00,88.50,0.37,0.28,1.00,8.00,3.08,0.92,2.75,0.33,1.08,0.42,0.55,0.55,0.58,0.58,0.00,0.08,22.00,15.92,72.00,2.33,0.50,21.00,0.00,0.00,1.83,0.58,0.41,0.08,0.00,0.33,0.00,0.33,60.33,28.07,30.05,4.00,6.50,8.75,20.00,0.58,5.75,1.17,1.25,0.75,60.00,3.33,0.25,0.08,0.50,0.83,7.83,5.75,3.67,0.67,1.58,2.00,1.27,36.58,28.92,79.00,32.83,24.33,74.00,22.00,15.92,72.00,0.58,0.25,12.00,0.00,2.00,2.33,57.50,11.67,1.33,4.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
Sterling (M) MCI,10.60,13.00,83.85,0.35,0.50,0.70,8.00,2.08,1.00,1.69,0.38,0.62,0.23,0.39,0.39,0.31,0.31,0.00,0.00,16.62,12.85,77.00,0.54,0.00,0.00,0.08,0.00,1.23,0.38,0.28,0.31,0.00,0.08,0.00,0.46,44.77,17.88,21.77,2.80,5.50,6.31,14.62,0.69,5.46,0.77,0.85,0.38,45.00,3.62,0.23,0.00,0.31,0.54,7.77,4.85,2.69,0.31,1.62,1.31,0.99,34.00,28.69,84.00,27.54,22.31,81.00,16.62,12.85,77.00,0.00,0.00,12.00,1.00,1.00,1.92,51.46,8.15,2.23,1.54,0.46,0.08,0.00,0.00,0.08,0.00,0.00,0.00,3.75
Sterling (M) MCI,10.60,10.00,88.20,0.38,0.31,1.10,8.00,3.30,1.10,3.00,0.30,1.20,0.40,0.62,0.62,0.70,0.70,0.00,0.10,23.30,16.70,72.00,2.50,0.60,24.00,0.00,0.00,2.20,0.70,0.48,0.10,0.00,0.40,0.00,0.40,65.60,32.75,34.76,4.50,7.00,9.00,22.50,0.70,6.50,1.00,1.40,0.90,64.00,3.20,0.30,0.00,0.40,0.70,7.10,5.20,3.70,0.70,1.60,2.10,1.30,36.80,28.90,79.00,33.40,24.70,74.00,23.30,16.70,72.00,0.70,0.30,10.00,0.00,2.00,1.90,58.20,12.10,1.10,4.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.67
Sterling (M) MCI,10.60,20.00,83.60,0.35,0.27,0.90,13.00,2.90,1.00,2.50,0.40,1.00,0.25,0.51,0.55,0.55,0.55,0.00,0.05,21.40,15.90,74.00,2.00,0.35,18.00,0.00,0.00,1.65,0.35,0.32,0.10,0.00,0.20,0.00,0.35,58.30,25.31,27.65,3.70,6.30,7.50,18.30,0.45,5.50,1.10,1.05,0.60,57.00,3.35,0.20,0.05,0.45,0.70,8.05,5.55,3.45,0.50,1.35,1.80,1.19,37.30,30.30,81.00,32.50,24.80,76.00,21.40,15.90,74.00,0.40,0.15,19.00,1.00,5.00,1.95,56.70,10.35,1.20,3.55,0.45,0.05,0.00,0.00,0.05,0.00,0.05,0.00,2.00
Sterling (M) MCI,10.70,8.00,85.25,0.32,0.44,0.80,7.00,2.50,1.38,1.88,0.62,0.50,0.00,0.42,0.42,0.50,0.38,0.12,0.00,22.50,18.62,83.00,3.00,0.75,25.00,1.50,0.00,2.25,0.38,0.33,0.38,0.00,0.12,0.00,0.75,52.00,33.76,33.68,3.10,6.00,10.25,22.62,0.75,7.00,0.25,1.12,0.50,45.00,4.00,0.25,0.00,0.62,0.88,6.12,3.62,2.00,0.38,0.88,0.62,0.58,42.00,37.38,89.00,37.88,31.50,83.00,22.50,18.62,83.00,0.25,0.00,8.00,0.00,4.00,2.00,64.12,9.75,0.88,5.50,0.88,0.00,1.12,0.00,0.12,0.00,0.00,0.00,13.00
