Name,App.,Minutes,Shots,Shots on Target,Shots in Box,Shots Outside Box,Headed Attempts,Big Chance,Big Chance Created,Goals,Goals inside Box,Goals outside Box,Headed Goal,Goal Involvement,Key Pass,Big Chance Created.1,Assists,Crosses (Tot.),Crosses (Succ.),Crosses Succ. %,Exp. Goals (xG),Non Penalty xG (NPxG),Exp. Assists (xA),Exp. Att. Points (xATT),Exp. Points (xPts),Exp. Involvement (xGI),Cost (£M),Points_x,Bonus Points,Baseline BPS,BPS,Threat,Creativity,Influence,Total Passes,Accurate Passes,Pass Completion (%),Opp. Half Passes,Opp. Half Accurate,Opp. Half Pass %,Final 3rd Passes,Final 3rd Accurate,Final 3rd Pass %,Throughballs (Tot.),Throughballs (Succ.),Touches (All),Touches (Box),Entries (Box),Fouls Won (Final 3rd),Penalty Box Entries,Fouls Won (Box),Fouls Made,Corners Taken,Set Piece Into Box,Freekicks (Indirect),Freekicks Taken,Freekicks (Accurate),Freekicks (Direct),Freekick Scored,Penalties Taken,Penalties Scored,Penalties Missed,Clean Sheets,Goals Conceded,Exp. Clean Sheets,Expected Goals Conceded,Shots Conceded,Shots In Box Conceded,Shots on Target Conceded,Headed Shots Conceded,Shots Conc. Set Pieces,Big Chances Conceded,Tackles (Tot.),Tackles (Won),Tackles Won (%),Recoveries,Clearances,Blocks,Interceptions,CBI,Shots Conc. Set Pieces.1,Wins,Saves,Yellow Cards,Second Yellows,Red Cards,Offsides,Errors (lead to Goal),Errors (lead to Shot),Own Goals,Names,Position,Team,Points_y
Patrício (G)WOL,6,540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4.3,0,5,3.67,0.0,14.33,18.33,0.0,0.0,22.13,20.17,10.67,53,9.67,3.17,33,0.83,0.0,0,0.0,0.0,26.83,0.0,0.83,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,,5.94,11.17,5.33,4.0,1.83,1.17,0.67,0.0,0.0,0,7.67,0.5,0.0,0.0,0.5,1.17,0.0,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Patrício ,G,8,6.67
Begović (G)EVE,6,540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.41,0,4,2.33,0.0,12.83,14.83,0.0,0.0,19.5,21.5,12.5,58,11.5,4.0,35,4.67,1.67,36,0.0,0.0,31.5,0.0,4.67,0.0,0.17,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,1.83,,8.71,13.67,8.33,4.67,2.0,0.67,1.33,0.0,0.0,0,8.0,0.83,0.0,0.0,0.83,0.67,0.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Begović ,G,10,5.67
Ryan (G)BHA,6,540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.02,0,4.5,2.0,0.0,15.17,15.17,0.0,0.0,25.6,29.17,13.67,47,21.5,8.5,40,5.5,1.67,30,0.0,0.0,36.17,0.0,5.5,0.0,0.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,,11.68,15.0,10.0,5.5,2.0,0.5,2.5,0.0,0.0,0,8.83,0.17,0.0,0.0,0.17,0.5,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ryan ,G,13,7.67
Hart (G)TOT,6,540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.46,0,4.5,5.5,0.5,19.67,26.17,0.0,0.0,41.37,31.5,15.17,48,25.33,11.0,43,11.17,4.33,39,0.0,0.0,43.67,0.0,11.17,0.0,0.83,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.67,,13.47,20.33,10.33,7.0,2.17,0.17,2.83,0.0,0.0,0,9.67,1.17,0.0,0.0,1.17,0.17,0.0,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hart ,G,5,2.0
Etheridge (G)CAR,6,540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.39,0,4.6,5.5,0.5,16.67,25.67,0.0,0.0,39.93,27.67,9.67,35,25.5,8.33,33,12.67,3.67,29,0.0,0.0,34.67,0.0,12.67,0.0,0.67,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.33,,12.45,14.17,11.17,6.5,1.5,0.67,2.33,0.0,0.0,0,7.5,0.67,0.0,0.33,1.0,0.67,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Etheridge ,G,20,1.67
Arrizabalaga (G)CHE,6,540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.88,0,4.5,4.0,0.0,10.83,16.83,0.0,0.02,13.47,27.17,21.5,79,5.67,2.5,44,0.17,0.0,0,0.0,0.0,32.67,0.0,0.17,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.67,,5.79,7.83,4.67,2.17,1.5,0.67,1.83,0.0,0.0,0,5.33,0.33,0.0,0.0,0.33,0.67,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arrizabalaga ,G,3,4.33
Hennessey (G)BUR,6,540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.91,0,4.5,5.83,0.5,16.67,25.17,0.0,0.0,32.17,25.67,13.17,51,18.0,6.5,36,9.83,2.83,29,0.0,0.0,37.17,0.0,9.83,0.0,0.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,,9.83,14.0,7.83,4.67,2.33,0.83,2.17,0.0,0.0,0,9.5,1.0,0.0,0.0,1.0,0.83,0.0,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hennessey ,G,15,1.67
Pickford (G)EVE,6,540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.34,0,4.8,2.0,0.0,14.33,14.33,0.0,0.0,19.87,28.17,13.5,48,18.0,5.17,29,9.33,2.33,25,0.0,0.0,37.83,0.0,9.33,0.0,0.67,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,,9.25,11.67,6.67,4.67,1.67,0.83,2.17,0.0,0.0,0,8.83,1.33,0.0,0.0,1.33,0.83,0.0,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pickford ,G,10,7.67
Ederson (G)MCI,6,540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.33,0.0,0.17,0.0,0.0,0,0,0.0,0.01,0.03,4.54,0,6.2,5.0,0.17,11.83,19.33,0.0,3.33,16.27,23.17,19.67,85,3.33,0.83,25,2.17,0.67,31,0.0,0.0,32.17,0.0,2.17,0.0,0.17,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,,4.0,6.5,3.33,2.17,0.33,0.5,0.83,0.0,0.0,0,8.0,0.17,0.0,0.0,0.17,0.5,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ederson ,G,1,6.33
de Gea (G)MUN,6,540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.39,0,5,3.17,0.17,14.5,16.5,0.0,0.0,23.53,26.33,13.67,52,16.83,5.67,34,4.17,0.67,16,0.0,0.0,34.0,0.0,4.17,0.0,0.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,1.5,,8.81,10.33,5.67,4.5,2.17,0.5,2.0,0.0,0.0,0,8.0,0.67,0.0,0.0,0.67,0.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,de Gea ,G,4,2.0
