Alisson (G)LIV,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4.87,0,6.1,6.5,0.5,15.5,27.5,0.0,0.0,16.9,27.0,25.0,93,5.5,4.0,73,2.0,1.5,75,0.0,0.0,34.5,0.0,2.0,0.0,0.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.42,6.5,4.0,2.0,0.5,0.0,0.0,0.0,0.0,0,7.5,0.5,0.0,0.0,0.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alisson ,G,2,3.67
Ederson (G)MCI,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.5,0.0,0.5,0.0,0.0,0,0,0.0,0.02,0.05,4.52,0,6.2,6.5,0.5,12.0,22.5,0.0,5.0,20.6,28.5,20.0,70,6.5,1.0,15,4.0,1.0,25,0.0,0.0,39.0,0.0,4.0,0.0,0.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,,0.73,7.0,4.0,2.0,0.5,1.0,1.0,0.0,0.0,0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ederson ,G,1,3.67
de Gea (G)MUN,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.18,0,5,2.0,0.0,11.5,11.5,0.0,0.0,12.6,25.5,13.0,51,14.0,4.0,29,3.5,0.5,14,0.0,0.0,31.5,0.0,3.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,1.43,9.5,5.0,3.5,1.0,0.0,2.0,0.0,0.0,0,6.5,1.0,0.0,0.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,de Gea ,G,4,3.33
Dubravka (G)NEW,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.06,0,4.4,4.0,0.0,11.5,17.5,0.0,0.0,16.5,32.0,16.0,50,15.5,3.5,23,3.0,0.5,17,0.0,0.0,41.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,,1.71,13.5,9.5,3.0,4.5,0.5,3.5,0.0,0.0,0,9.5,1.0,0.0,0.0,1.0,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dubravka ,G,11,1.67
McCarthy (G)SOU,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.78,0,4.3,6.5,1.5,21.0,27.0,0.0,0.0,39.9,20.5,9.0,44,17.0,7.0,41,4.5,1.5,33,0.0,0.0,32.0,0.0,4.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,,1.92,14.5,9.5,6.5,4.0,3.0,2.5,0.0,0.0,0,10.5,1.0,0.0,0.0,1.0,3.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,McCarthy ,G,14,3.33
Lloris (G)TOT,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2.83,0,5.5,2.0,0.0,14.0,14.0,0.0,0.0,17.1,31.0,22.5,73,7.0,2.0,29,2.0,0.5,25,0.0,0.0,42.5,0.0,2.0,0.0,0.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.36,12.5,7.0,2.5,1.5,1.0,2.5,0.5,0.0,0,7.5,2.5,0.0,0.0,2.5,1.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lloris ,G,5,7.0
Foster (G)WAT,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0,0.0,0,0,0.0,0.02,0.05,5.08,1,4.2,4.0,0.0,12.0,18.0,0.0,5.0,11.1,34.5,15.5,45,27.5,9.5,35,10.5,3.5,33,0.0,0.0,44.0,0.0,10.5,0.0,0.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,,0.38,7.0,5.0,1.5,2.0,1.0,0.0,0.0,0.0,0,12.0,0.5,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Foster ,G,17,2.0
Fabianski (G)WHU,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2.85,0,5,1.5,0.0,17.0,17.0,0.0,0.0,27.9,22.0,9.5,43,17.5,5.5,31,5.5,0.5,9,0.0,0.0,37.0,0.0,5.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,2.43,15.0,10.5,6.5,2.0,1.5,4.0,0.0,0.0,0,12.0,1.5,0.0,0.0,1.5,1.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fabianski ,G,9,3.67
Patrício (G)WOL,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4.47,0,5,1.5,0.0,12.0,12.0,0.0,0.0,16.6,15.5,10.5,68,6.0,2.5,42,0.5,0.0,0,0.0,0.0,22.5,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.78,7.0,4.0,3.5,1.5,1.5,0.5,0.0,0.0,0,7.5,0.5,0.0,0.0,0.5,1.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Patrício ,G,8,5.33
Patrício (G)WOL,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4.08,0,5,2.0,0.0,14.0,14.0,0.0,0.0,21.9,23.0,12.0,52,11.0,5.0,45,1.0,0.0,0,0.0,0.0,31.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,,1.11,12.0,5.0,4.0,1.5,1.5,1.0,0.0,0.0,0,9.0,1.0,0.0,0.0,1.0,1.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Patrício ,G,8,5.33
