Name,App.,Minutes,Shots,Shots on Target,Shots in Box,Shots Outside Box,Headed Attempts,Big Chance,Big Chance Created,Goals,Goals inside Box,Goals outside Box,Headed Goal,Goal Involvement,Key Pass,Big Chance Created.1,Assists,Crosses (Tot.),Crosses (Succ.),Crosses Succ. %,Exp. Goals (xG),Non Penalty xG (NPxG),Exp. Assists (xA),Exp. Att. Points (xATT),Exp. Points (xPts),Exp. Involvement (xGI),Cost (£M),Points_x,Bonus Points,Baseline BPS,BPS,Threat,Creativity,Influence,Total Passes,Accurate Passes,Pass Completion (%),Opp. Half Passes,Opp. Half Accurate,Opp. Half Pass %,Final 3rd Passes,Final 3rd Accurate,Final 3rd Pass %,Throughballs (Tot.),Throughballs (Succ.),Touches (All),Touches (Box),Entries (Box),Fouls Won (Final 3rd),Penalty Box Entries,Fouls Won (Box),Fouls Made,Corners Taken,Set Piece Into Box,Freekicks (Indirect),Freekicks Taken,Freekicks (Accurate),Freekicks (Direct),Freekick Scored,Penalties Taken,Penalties Scored,Penalties Missed,Clean Sheets,Goals Conceded,Exp. Clean Sheets,Expected Goals Conceded,Shots Conceded,Shots In Box Conceded,Shots on Target Conceded,Headed Shots Conceded,Shots Conc. Set Pieces,Big Chances Conceded,Tackles (Tot.),Tackles (Won),Tackles Won (%),Recoveries,Clearances,Blocks,Interceptions,CBI,Shots Conc. Set Pieces.1,Wins,Saves,Yellow Cards,Second Yellows,Red Cards,Offsides,Errors (lead to Goal),Errors (lead to Shot),Own Goals,Names,Position,Team,Points_y
Cech (G)ARS,5,450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4.12,0,4.7,2.4,0.0,17.6,17.6,0.0,0.0,28.88,34.6,24.6,71,9.6,3.2,33,2.2,0.6,27,0.0,0.0,47.8,0.0,2.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,,6.79,14.4,8.0,5.8,1.6,1.4,1.0,0.0,0.0,0,9.8,0.8,0.0,0.0,0.8,1.4,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cech ,G,6,8.0
Begović (G)EVE,5,450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.68,0,4,2.8,0.0,13.4,15.8,0.0,0.0,22.0,21.8,12.6,58,12.0,4.0,33,4.6,1.8,39,0.0,0.0,32.0,0.0,4.6,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.4,,6.74,14.0,8.0,4.6,2.2,0.8,1.0,0.0,0.0,0,8.0,0.6,0.0,0.0,0.6,0.8,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Begović ,G,10,2.67
Ryan (G)BHA,5,450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.06,0,4.5,2.0,0.0,14.2,14.2,0.0,0.0,22.76,29.0,12.6,43,21.4,7.4,35,6.2,1.8,29,0.0,0.0,35.6,0.0,6.2,0.0,0.6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,,9.23,14.8,9.8,5.2,2.0,0.6,2.4,0.0,0.0,0,8.0,0.2,0.0,0.0,0.2,0.6,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ryan ,G,13,4.67
Hart (G)TOT,5,450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.37,0,4.5,4.8,0.4,19.6,25.0,0.0,0.0,43.0,31.0,15.0,48,24.4,10.6,43,11.4,4.6,40,0.0,0.0,43.8,0.0,11.4,0.0,0.6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,,12.09,20.6,11.0,7.4,2.6,0.2,3.2,0.0,0.0,0,10.2,1.0,0.0,0.0,1.0,0.2,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hart ,G,5,4.67
Etheridge (G)CAR,5,450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.6,0,4.6,6.4,0.6,16.4,27.2,0.0,0.0,40.12,27.6,9.6,35,26.0,8.8,34,13.6,4.0,29,0.0,0.0,34.6,0.0,13.6,0.0,0.6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.8,,9.31,12.8,9.8,5.8,1.4,0.6,2.0,0.0,0.0,0,7.4,0.8,0.0,0.2,1.0,0.6,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Etheridge ,G,20,1.67
Arrizabalaga (G)CHE,5,450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.92,0,4.5,3.6,0.0,11.2,16.0,0.0,0.02,13.72,27.6,21.4,78,6.4,3.0,47,0.2,0.0,0,0.0,0.0,33.6,0.0,0.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,,4.97,8.2,5.0,2.4,1.6,0.8,1.8,0.0,0.0,0,5.8,0.4,0.0,0.0,0.4,0.8,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arrizabalaga ,G,3,6.0
Hennessey (G)BUR,5,450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.57,0,4.5,5.4,0.4,16.8,24.6,0.0,0.0,34.88,26.2,13.2,50,19.2,7.4,39,10.4,3.0,29,0.0,0.0,37.0,0.0,10.4,0.0,0.6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,,9.34,15.6,8.6,5.0,2.4,0.8,2.6,0.0,0.0,0,8.6,1.2,0.0,0.0,1.2,0.8,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hennessey ,G,15,4.0
Pickford (G)EVE,5,450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.2,0,4.8,2.0,0.0,14.4,14.4,0.0,0.0,20.16,30.2,13.8,46,19.0,4.8,25,9.8,2.2,22,0.0,0.0,40.4,0.0,9.8,0.0,0.8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,,8.03,12.2,7.0,4.6,2.0,1.0,2.4,0.0,0.0,0,9.6,1.6,0.0,0.0,1.6,1.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pickford ,G,10,3.33
de Gea (G)MUN,5,450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.19,0,5,2.8,0.0,12.8,15.2,0.0,0.0,18.76,25.8,12.8,50,17.4,5.8,33,4.4,0.8,18,0.0,0.0,33.0,0.0,4.4,0.0,0.6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.6,,6.96,10.2,5.8,3.8,2.0,0.6,2.0,0.0,0.0,0,7.6,0.8,0.0,0.0,0.8,0.6,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,de Gea ,G,4,3.0
Dubravka (G)NEW,5,450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.4,0,4.4,2.6,0.0,13.0,15.4,0.0,0.0,20.28,29.2,14.0,48,18.8,6.6,35,3.4,0.8,24,0.0,0.0,36.6,0.0,3.4,0.0,0.6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.6,,7.93,15.6,10.6,3.8,2.6,1.0,2.2,0.0,0.0,0,8.8,0.8,0.0,0.0,0.8,1.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dubravka ,G,11,5.0
